Observable,Time,Pearson r,Pearson p,Spearman r,Spearman p
S_0,0.0,-0.04327702315960096,0.08353405519793412,-0.03205085064293037,0.2000668033115806
Sz_0_0,0.0,,,,
Sz_1_0,0.0,,,,
Sz_2_0,0.0,,,,
Sz_3_0,0.0,,,,
Sz_4_0,0.0,,,,
Sz_5_0,0.0,,,,
Sz_6_0,0.0,,,,
Sz_7_0,0.0,,,,
S_1,1.0,-0.6031735506403684,3.8063367703306975e-159,-0.6031979438552143,3.668076728893238e-159
Sz_0_1,1.0,-0.4570143337438852,2.2010564190686998e-83,-0.46756882123194826,1.061637515572481e-87
Sz_1_1,1.0,0.4524949323430469,1.3968013428123936e-81,0.462192042767866,1.7536701750901205e-85
Sz_2_1,1.0,-0.4394094617490457,1.6343698962356402e-76,-0.4386697746187779,3.1136701827002665e-76
Sz_3_1,1.0,0.43304246991799006,3.983335075707057e-74,0.4309637209211668,2.336446071117647e-73
Sz_4_1,1.0,-0.39239003673957157,4.8544043941047466e-60,-0.3901687238961912,2.5166418524452774e-59
Sz_5_1,1.0,0.39733470029782497,1.189649345113982e-61,0.39394657011964207,1.5207469376076728e-60
Sz_6_1,1.0,-0.423862073103724,8.977267854202235e-71,-0.42515337097293937,3.0745215353021674e-71
Sz_7_1,1.0,0.4291677487590072,1.0666902855429673e-72,0.4325678224635563,5.972422993703941e-74
S_2,2.0,-0.6735326698128902,5.164910861284445e-212,-0.6854908223132083,1.6872865574127543e-222
Sz_0_2,2.0,-0.47166956944294725,2.0301813585197712e-89,-0.5096065956726439,1.775799704870238e-106
Sz_1_2,2.0,0.4737682583065283,2.6240376297431237e-90,0.510430665567264,7.152630738299618e-107
Sz_2_2,2.0,-0.4690637606993405,2.5247813360231295e-88,-0.4961936239521037,3.3691577389753887e-100
Sz_3_2,2.0,0.4377805214987812,6.74339046926927e-76,0.4595046823630648,2.1763612170999548e-84
Sz_4_2,2.0,-0.43785697721330885,6.310489949244342e-76,-0.4668622404474762,2.0879262201050337e-87
Sz_5_2,2.0,0.44954276496998163,2.032293625854327e-80,0.4772824010974732,8.263792523264084e-92
Sz_6_2,2.0,-0.44909465204289994,3.0443731124281423e-80,-0.4775889235199371,6.100316845750386e-92
Sz_7_2,2.0,0.46764725649563754,9.847515876191224e-88,0.4940665821064282,3.1452348127479877e-99
S_4,4.0,-0.7887831659997906,0.0,-0.8030317424246466,0.0
Sz_0_4,4.0,-0.4994825018962676,1.0325801586016328e-101,-0.5266405078404177,7.264987847629863e-115
Sz_1_4,4.0,0.4952834382842951,8.779927100643635e-100,0.517138737597876,3.972089085573396e-110
Sz_2_4,4.0,-0.48474986977361484,4.646652939450429e-95,-0.5032154660859951,1.8870585466699942e-103
Sz_3_4,4.0,0.4629479800514288,8.600174864983836e-86,0.48597773806084343,1.3334750275128417e-95
Sz_4_4,4.0,-0.4346665889338126,9.913435325545727e-75,-0.4612629732816927,4.1994782812348476e-85
Sz_5_4,4.0,0.4529080505435646,9.582815838188335e-82,0.4732601010808301,4.312087421203778e-90
Sz_6_4,4.0,-0.44783959081566604,9.41173672006172e-80,-0.4761841672474943,2.445683324148006e-91
Sz_7_4,4.0,0.4593525655109771,2.508141587729631e-84,0.4822274111156525,5.942963550388715e-94
S_8,8.0,-0.7900254118364056,0.0,-0.837608794794813,0.0
Sz_0_8,8.0,-0.44315767035712206,6.084077325071243e-78,-0.47488406713074893,8.790621914331713e-91
Sz_1_8,8.0,0.4498286916586003,1.5698599160240855e-80,0.478579112745798,2.2833945724813837e-92
Sz_2_8,8.0,-0.44690223978453203,2.1798176613981993e-79,-0.47487878088316066,8.836369633916428e-91
Sz_3_8,8.0,0.4110820860326133,2.823958114233031e-66,0.44445339282269025,1.9318085760371902e-78
Sz_4_8,8.0,-0.4108010648931222,3.528443846535924e-66,-0.4457878542889228,5.896255074671443e-79
Sz_5_8,8.0,0.42038320669626494,1.573357760197011e-69,0.44874110214102736,4.185880641973797e-80
Sz_6_8,8.0,-0.41326623982906113,4.9651311533882285e-67,-0.44625139351212617,3.8995300833894807e-79
Sz_7_8,8.0,0.4345788103936077,1.0689416399507518e-74,0.46539700985790194,8.445878316195873e-87
