Time,Model,AUC Mean,AUC SD
0,Logistic Regression,0.510275,0.010890198511097524
0,RBF SVM,0.49411666666666665,0.02141924676417088
1,Logistic Regression,0.8848083333333333,0.009842495731379448
1,RBF SVM,0.9331916666666669,0.004699187281978777
2,Logistic Regression,0.8947333333333335,0.007520832179131985
2,RBF SVM,0.9251249999999999,0.008871458604861838
4,Logistic Regression,0.9240416666666667,0.008159648344819219
4,RBF SVM,0.941475,0.0023307426093653423
8,Logistic Regression,0.926825,0.0032069152710284226
8,RBF SVM,0.9445083333333333,0.0045937306311005285
